size,income,cum_sum,grouping
1,0,870,group
1,21,884,group
1,60,902,group
1,130,924,group
1,200,935,group
1,290,944,group
1,526,965,group
1,621,978,group
1,631,1003,group
1,1021,1048,group
1,1035,1070,group
1,1157,1144,group
1,1344,1156,group
1,1430,1179,group
1,1634,1192,group
1,1789,1196,group
1,1873,1211,group
1,2071,1219,group
1,2172,1228,group
1,2247,1241,group
1,2275,1250,group
1,2340,1272,group
1,2379,1286,group
1,2680,1293,group
1,2720,1309,group
1,3030,1324,group
1,3064,1336,group
1,3157,1378,group
1,3200,1395,group
1,3683,1422,group
1,3707,1445,group
1,4085,1458,group
1,4142,1532,group
1,4209,1558,group
1,4556,1585,group
1,4892,1598,group
1,5100,1620,group
1,5107,1633,group
1,5177,1645,group
1,5250,1668,group
1,5384,1681,group
1,5400,1694,group
1,5515,1717,group
1,5660,1730,group
1,6103,1744,group
1,6128,1794,group
1,6205,1810,group
1,6316,1829,group
1,6800,1841,group
1,6826,1844,group
1,6836,1851,group
1,6937,1863,group
1,7000,1871,group
1,7155,1882,group
1,7200,1896,group
1,7239,1909,group
1,7343,1923,group
1,7353,1997,group
1,7365,2009,group
1,7500,2030,group
1,7653,2041,group
1,7762,2065,group
1,7766,2086,group
1,7800,2145,group
1,7869,2164,group
1,7892,2310,group
1,7900,2320,group
1,7966,2387,group
1,7997,2394,group
1,8000,2478,group
1,8068,2489,group
1,8170,2530,group
1,8207,2556,group
1,8283,2635,group
1,8284,2648,group
1,8387,2661,group
1,8418,2673,group
1,8500,2719,group
1,8600,2730,group
1,8628,2742,group
1,8650,2750,group
1,8687,2764,group
1,8700,2777,group
1,8801,2827,group
1,8839,2874,group
1,8905,2951,group
1,8944,2957,group
1,8987,2973,group
1,8997,2988,group
1,9000,3001,group
1,9008,3042,group
1,9100,3053,group
1,9101,3232,group
1,9215,3338,group
1,9308,3365,group
1,9400,3385,group
1,9470,3412,group
1,9500,3431,group
1,9600,3450,group
1,9680,3473,group
1,9805,3487,group
1,9891,3502,group
1,9900,3511,group
1,9928,3549,group
1,10000,3718,group
1,10111,3730,group
1,10147,3785,group
1,10213,3870,group
1,10238,3888,group
1,10312,3928,group
1,10342,4023,group
1,10354,4185,group
1,10400,4208,group
1,10417,4232,group
1,10522,4362,group
1,10627,4383,group
1,10733,4411,group
1,10768,4433,group
1,10800,4496,group
1,10943,4517,group
1,11000,4536,group
1,11014,4544,group
1,11030,4582,group
1,11153,4599,group
1,11234,4670,group
1,11286,4696,group
1,11364,4720,group
1,11376,4754,group
1,11390,4813,group
1,11439,4834,group
1,11469,4842,group
1,11597,4882,group
1,11643,4902,group
1,11680,4927,group
1,11700,4967,group
1,11785,4974,group
1,11790,4981,group
1,11804,4993,group
1,11847,5015,group
1,11890,5027,group
1,11900,5042,group
1,11940,5055,group
1,12000,5215,group
1,12100,5298,group
1,12176,5323,group
1,12206,5338,group
1,12218,5355,group
1,12256,5379,group
1,12300,5412,group
1,12410,5661,group
1,12425,5760,group
1,12500,5797,group
1,12617,5809,group
1,12627,5869,group
1,12632,5936,group
1,12700,6053,group
1,12839,6073,group
1,12868,6094,group
1,12869,6104,group
1,12927,6192,group
1,12971,6275,group
1,13000,6337,group
1,13031,6373,group
1,13073,6379,group
1,13100,6402,group
1,13150,6415,group
1,13175,6439,group
1,13200,6462,group
1,13247,6477,group
1,13253,6491,group
1,13258,6504,group
1,13300,6524,group
1,13341,6538,group
1,13357,6553,group
1,13379,6572,group
1,13440,6586,group
1,13444,6910,group
1,13460,7073,group
1,13500,7081,group
1,13564,7086,group
1,13574,7099,group
1,13667,7113,group
1,13679,7134,group
1,13685,7144,group
1,13700,7156,group
1,13755,7174,group
1,13771,7202,group
1,13784,7214,group
1,13788,7338,group
1,13800,7351,group
1,13889,7367,group
1,13900,7393,group
1,13962,7405,group
1,14000,7442,group
1,14044,7456,group
1,14050,7475,group
1,14200,7485,group
1,14272,7496,group
1,14298,7650,group
1,14300,7662,group
1,14400,7678,group
1,14415,7690,group
1,14479,7696,group
1,14496,7733,group
1,14500,7870,group
1,14599,7878,group
1,14600,7917,group
1,14634,7940,group
1,14685,7965,group
1,14727,7983,group
1,14731,8072,group
1,14806,8083,group
1,14879,8115,group
1,14892,8146,group
1,14910,8171,group
1,14996,8250,group
1,15000,8440,group
1,15013,8452,group
1,15014,8469,group
1,15047,8482,group
1,15099,8493,group
1,15100,8534,group
1,15115,8546,group
1,15152,8722,group
1,15200,8736,group
1,15203,8770,group
1,15257,8781,group
1,15320,8801,group
1,15376,8817,group
1,15378,8885,group
1,15513,8954,group
1,15524,9011,group
1,15531,9210,group
1,15573,9222,group
1,15600,9250,group
1,15635,9266,group
1,15728,9278,group
