FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2023,1,0.00,0.00,0.00,0.00
2023,2,0.00,0.00,0.00,0.00
2023,3,0.00,0.00,0.00,0.00
2023,4,0.00,0.00,0.00,0.00
2023,5,0.00,0.00,0.00,0.00
2023,6,0.00,0.00,0.00,0.00
2023,7,0.00,0.00,0.00,0.00
2023,8,0.00,0.00,0.00,0.00
2023,9,12.00,12.00,0.00,0.92
2023,10,15.16,12.00,0.00,4.08
2023,11,15.88,12.00,0.00,4.80
2023,12,16.48,12.00,0.00,5.40
2023,13,12.00,12.00,0.00,0.92
2023,14,15.16,12.00,0.00,4.08
2023,15,15.88,12.00,0.00,4.80
2023,16,16.48,12.00,0.00,5.40
2023,17,24.00,24.00,0.00,1.84
2023,18,30.32,24.00,0.00,8.16
2023,19,31.76,24.00,0.00,9.60
2023,20,32.96,24.00,0.00,10.80
2023,21,24.00,24.00,0.00,1.84
2023,22,30.32,24.00,0.00,8.16
2023,23,31.76,24.00,0.00,9.60
2023,24,32.96,24.00,0.00,10.80
2023,25,36.00,36.00,0.00,2.75
2023,26,45.49,36.00,0.00,12.24
2023,27,47.65,36.00,0.00,14.40
2023,28,49.45,36.00,0.00,16.20
2023,29,36.00,36.00,0.00,2.75
2023,30,45.49,36.00,0.00,12.24
2023,31,47.65,36.00,0.00,14.40
2023,32,49.45,36.00,0.00,16.20
2023,33,48.00,48.00,0.00,3.67
2023,34,60.65,48.00,0.00,16.32
2023,35,63.53,48.00,0.00,19.20
2023,36,65.93,48.00,0.00,21.60
2023,37,48.00,48.00,0.00,3.67
2023,38,60.65,48.00,0.00,16.32
2023,39,63.53,48.00,0.00,19.20
2023,40,65.93,48.00,0.00,21.60
2023,41,60.00,60.00,0.00,4.59
2023,42,75.81,60.00,0.00,20.40
2023,43,79.41,60.00,0.00,24.00
2023,44,82.41,60.00,0.00,27.00
2023,45,60.00,60.00,0.00,4.59
2023,46,75.81,60.00,0.00,20.40
2023,47,79.41,60.00,0.00,24.00
2023,48,82.41,60.00,0.00,27.00
2023,49,72.00,72.00,0.00,5.51
2023,50,90.97,72.00,0.00,24.48
2023,51,95.29,72.00,0.00,28.80
2023,52,98.89,72.00,0.00,32.40
2023,53,72.00,72.00,0.00,5.51
2023,54,90.97,72.00,0.00,24.48
2023,55,95.29,72.00,0.00,28.80
2023,56,98.89,72.00,0.00,32.40
2023,57,84.00,84.00,0.00,6.43
2023,58,106.13,84.00,0.00,28.56
2023,59,111.17,84.00,0.00,33.60
2023,60,115.37,84.00,0.00,37.80
2023,61,84.00,84.00,0.00,6.43
2023,62,106.13,84.00,0.00,28.56
2023,63,111.17,84.00,0.00,33.60
2023,64,115.37,84.00,0.00,37.80
2023,65,96.00,96.00,0.00,7.34
2023,66,121.30,96.00,0.00,32.64
2023,67,127.06,96.00,0.00,38.40
2023,68,131.86,96.00,0.00,43.20
2023,69,96.00,96.00,0.00,7.34
2023,70,121.30,96.00,0.00,32.64
2023,71,127.06,96.00,0.00,38.40
2023,72,131.86,96.00,0.00,43.20
2023,73,108.00,108.00,0.00,8.26
2023,74,136.46,108.00,0.00,36.72
2023,75,142.94,108.00,0.00,43.20
2023,76,148.34,108.00,0.00,48.60
2023,77,108.00,108.00,0.00,8.26
2023,78,136.46,108.00,0.00,36.72
2023,79,142.94,108.00,0.00,43.20
2023,80,148.34,108.00,0.00,48.60
2023,81,120.00,120.00,0.00,9.18
2023,82,151.62,120.00,0.00,40.80
2023,83,158.82,120.00,0.00,48.00
2023,84,164.82,120.00,0.00,54.00
2023,85,120.00,120.00,0.00,9.18
2023,86,151.62,120.00,0.00,40.80
2023,87,158.82,120.00,0.00,48.00
2023,88,164.82,120.00,0.00,54.00
2023,89,132.00,132.00,0.00,10.10
2023,90,166.78,132.00,0.00,44.88
