size,income,cum_sum
1,0,1186
1,1,1213
1,41,1243
1,179,1263
1,196,1274
1,207,1291
1,280,1314
1,321,1322
1,558,1336
1,600,1348
1,631,1380
1,700,1390
1,725,1408
1,766,1416
1,800,1435
1,817,1461
1,931,1471
1,979,1477
1,1138,1485
1,1139,1500
1,1200,1585
1,1226,1604
1,1263,1612
1,1344,1641
1,1346,1656
1,1368,1695
1,1450,1733
1,1500,1765
1,1522,1772
1,1532,1782
1,1553,1799
1,1600,1805
1,1634,1817
1,1695,1833
1,1700,1839
1,1736,1850
1,1810,1875
1,1833,1887
1,1900,1907
1,1965,1918
1,2020,1925
1,2104,1939
1,2210,1948
1,2300,2004
1,2379,2036
1,2420,2043
1,2451,2063
1,2500,2103
1,2525,2113
1,2655,2117
1,2725,2137
1,2800,2172
1,2841,2186
1,3000,2192
1,3103,2202
1,3106,2242
1,3166,2253
1,3268,2268
1,3309,2289
1,3313,2312
1,3367,2332
1,3500,2351
1,3516,2359
1,3523,2381
1,3683,2401
1,3788,2431
1,3930,2446
1,3988,2469
1,4187,2491
1,4209,2575
1,4289,2581
1,4349,2595
1,4447,2600
1,4500,2620
1,4659,2632
1,4902,2645
1,5000,2662
1,5004,2683
1,5050,2693
1,5107,2730
1,5171,2769
1,5177,2797
1,5200,2827
1,5261,2868
1,5515,2883
1,5585,2898
1,5695,2943
1,5821,2962
1,5924,3012
1,6000,3023
1,6005,3029
1,6128,3041
1,6205,3095
1,6212,3141
1,6300,3171
1,6313,3212
1,6420,3223
1,6434,3257
1,6492,3267
1,6515,3280
1,6524,3304
1,6638,3317
1,6722,3329
1,6730,3358
1,6800,3404
1,6850,3436
1,6945,3453
1,7000,3489
1,7050,3500
1,7136,3548
1,7144,3557
1,7149,3588
1,7188,3602
1,7200,3618
1,7300,3638
1,7365,3663
1,7418,3674
1,7455,3698
1,7456,3703
1,7576,3742
1,7662,3751
1,7756,3759
1,7830,3774
1,7900,3792
1,7966,3805
1,8076,3812
1,8102,3829
1,8170,3839
1,8207,3860
1,8273,3928
1,8283,3986
1,8400,4082
1,8418,4101
1,8477,4109
1,8500,4121
1,8579,4210
1,8584,4217
1,8594,4243
1,8600,4296
1,8618,4331
1,8687,4406
1,8697,4600
1,8700,4611
1,8783,4675
1,8800,4779
1,8801,4832
1,8820,4842
1,8824,4850
1,8839,4883
1,8894,4890
1,8905,4917
1,8944,5000
1,8987,5085
1,8997,5103
1,9000,5112
1,9008,5127
1,9020,5138
1,9100,5144
1,9101,5194
1,9112,5222
1,9192,5344
1,9204,5352
1,9215,5372
1,9259,5387
1,9300,5400
1,9308,5468
1,9319,5576
1,9400,5607
1,9470,5616
1,9515,5627
1,9575,5655
1,9600,5721
1,9618,5740
1,9629,5756
1,9680,5768
1,9700,5777
1,9702,5787
1,9733,5801
1,9800,5807
1,9805,5941
1,9891,6042
1,9900,6073
1,9940,6140
1,9996,6179
1,10000,6205
1,10009,6236
1,10100,6248
1,10101,6261
1,10111,6286
1,10135,6295
1,10200,6305
1,10213,6378
1,10251,6406
1,10312,6421
1,10315,6465
1,10342,6662
1,10354,6848
1,10400,6854
1,10417,6869
1,10458,6896
1,10519,6904
1,10522,6954
1,10561,6969
1,10622,6981
1,10627,7039
1,10665,7053
1,10724,7092
1,10744,7121
1,10756,7131
1,10775,7143
1,10838,7164
1,10900,7175
1,10975,7202
1,11000,7220
1,11014,7240
1,11079,7247
1,11169,7253
1,11182,7291
1,11200,7372
1,11234,7442
1,11259,7467
1,11286,7501
1,11311,7524
1,11336,7543
1,11364,7596
1,11376,7642
1,11400,7668
1,11469,7691
1,11493,7706
1,11574,7773
1,11597,7780
1,11643,7785
1,11686,7800
1,11785,7813
1,11800,7830
1,11835,7843
1,11847,7934
1,11900,7944
1,11907,7952
1,11997,7960
1,12000,8140
1,12100,8168
1,12114,8187
1,12203,8217
1,12206,8257
1,12218,8264
1,12228,8276
1,12256,8463
1,12320,8478
1,12321,8496
1,12358,8509
1,12410,8595
1,12425,8911
1,12500,8950
1,12521,8962
1,12627,9145
1,12664,9158
1,12710,9168
1,12721,9234
1,12732,9246
1,12824,9252
1,12828,9269
1,12837,9279
1,12900,9292
1,12942,9315
1,12971,9350
1,13000,9409
1,13046,9422
1,13047,9449
1,13100,9455
1,13150,9481
1,13153,9515
1,13154,9530
1,13186,9543
1,13200,9560
1,13238,9568
1,13258,9579
1,13277,9726
1,13341,9748
1,13444,9800
1,13460,9884
1,13481,9915
1,13500,9926
1,13548,9939
1,13574,10005
1,13583,10044
1,13651,10070
1,13679,10120
1,13700,10132
1,13784,10163
1,13788,10175
1,13875,10229
1,13889,10243
1,13900,10259
1,14000,10396
1,14065,10406
1,14082,10419
1,14094,10432
1,14168,10448
1,14185,10460
1,14205,10483
1,14257,10508
1,14289,10516
1,14298,10549
1,14300,10562
1,14310,10594
1,14400,10668
1,14479,10732
1,14496,10786
1,14500,10810
1,14503,10866
1,14527,10887
1,14582,10916
1,14626,10923
1,14685,10939
1,14700,10952
1,14703,10974
1,14731,11053
1,14789,11082
1,14800,11095
1,14840,11100
1,14892,11217
1,14910,11273
1,14951,11287
1,14996,11308
1,15000,11335
1,15010,11342
1,15047,11355
1,15099,11370
1,15100,11385
1,15115,11405
1,15117,11412
1,15152,11462
1,15190,11482
1,15200,11504
1,15300,11537
1,15306,11568
1,15320,11728
1,15324,11736
1,15400,11794
1,15422,11812
1,15513,11962
1,15524,11980
1,15531,12112
1,15600,12126
1,15626,12150
1,15728,12169
1,15738,12183
1,15783,12328
1,15823,12355
1,15888,12363
1,15899,12384
1,15900,12391
1,15926,12469
1,15932,12506
1,15994,12526
1,16000,12549
1,16030,12564
1,16034,12610
1,16049,12634
1,16133,12684
1,16204,12706
1,16300,12722
