composition,adults,children,monthly_income,payment,benefit
1 adult,1,0,0,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,0,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,0,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,0,642,FNS (Food Stamps)
2 adults,2,0,0,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,0,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,0,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,0,762,FNS (Food Stamps)
1 adult,1,0,10,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,10,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,10,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,10,642,FNS (Food Stamps)
2 adults,2,0,10,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,10,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,10,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,10,762,FNS (Food Stamps)
1 adult,1,0,20,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,20,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,20,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,20,642,FNS (Food Stamps)
2 adults,2,0,20,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,20,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,20,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,20,762,FNS (Food Stamps)
1 adult,1,0,30,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,30,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,30,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,30,642,FNS (Food Stamps)
2 adults,2,0,30,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,30,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,30,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,30,762,FNS (Food Stamps)
1 adult,1,0,40,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,40,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,40,505,FNS (Food Stamps)
