composition,monthly_income,benefit,payment,hourly_wage
1 adult,0,After-tax income,0,0
1 adult,0,"SNAP, TANF, WIC, Housing",658,0
1 adult,0,"Child Care, SNAP, TANF, WIC, Housing",658,0
1 adult,10,After-tax income,10,0.06
1 adult,10,"SNAP, TANF, WIC, Housing",665,0.06
1 adult,10,"Child Care, SNAP, TANF, WIC, Housing",665,0.06
1 adult,20,After-tax income,20,0.11
1 adult,20,"SNAP, TANF, WIC, Housing",672,0.11
1 adult,20,"Child Care, SNAP, TANF, WIC, Housing",672,0.11
1 adult,30,After-tax income,30,0.17
1 adult,30,"SNAP, TANF, WIC, Housing",679,0.17
1 adult,30,"Child Care, SNAP, TANF, WIC, Housing",679,0.17
1 adult,40,After-tax income,40,0.23
1 adult,40,"SNAP, TANF, WIC, Housing",686,0.23
1 adult,40,"Child Care, SNAP, TANF, WIC, Housing",686,0.23
1 adult,50,After-tax income,50,0.29
1 adult,50,"SNAP, TANF, WIC, Housing",693,0.29
1 adult,50,"Child Care, SNAP, TANF, WIC, Housing",693,0.29
1 adult,60,After-tax income,60,0.34
1 adult,60,"SNAP, TANF, WIC, Housing",700,0.34
1 adult,60,"Child Care, SNAP, TANF, WIC, Housing",700,0.34
1 adult,70,After-tax income,70,0.4
1 adult,70,"SNAP, TANF, WIC, Housing",707,0.4
1 adult,70,"Child Care, SNAP, TANF, WIC, Housing",707,0.4
1 adult,80,After-tax income,80,0.46
1 adult,80,"SNAP, TANF, WIC, Housing",714,0.46
1 adult,80,"Child Care, SNAP, TANF, WIC, Housing",714,0.46
1 adult,90,After-tax income,90,0.52
1 adult,90,"SNAP, TANF, WIC, Housing",721,0.52
1 adult,90,"Child Care, SNAP, TANF, WIC, Housing",721,0.52
1 adult,100,After-tax income,100,0.57
1 adult,100,"SNAP, TANF, WIC, Housing",728,0.57
1 adult,100,"Child Care, SNAP, TANF, WIC, Housing",728,0.57
1 adult,110,After-tax income,110,0.63
1 adult,110,"SNAP, TANF, WIC, Housing",735,0.63
1 adult,110,"Child Care, SNAP, TANF, WIC, Housing",735,0.63
1 adult,120,After-tax income,120,0.69
1 adult,120,"SNAP, TANF, WIC, Housing",742,0.69
1 adult,120,"Child Care, SNAP, TANF, WIC, Housing",742,0.69
1 adult,130,After-tax income,130,0.75
1 adult,130,"SNAP, TANF, WIC, Housing",749,0.75
1 adult,130,"Child Care, SNAP, TANF, WIC, Housing",749,0.75
1 adult,140,After-tax income,140,0.8
1 adult,140,"SNAP, TANF, WIC, Housing",756,0.8
1 adult,140,"Child Care, SNAP, TANF, WIC, Housing",756,0.8
1 adult,150,After-tax income,150,0.86
1 adult,150,"SNAP, TANF, WIC, Housing",763,0.86
1 adult,150,"Child Care, SNAP, TANF, WIC, Housing",763,0.86
1 adult,160,After-tax income,160,0.92
1 adult,160,"SNAP, TANF, WIC, Housing",770,0.92
1 adult,160,"Child Care, SNAP, TANF, WIC, Housing",770,0.92
1 adult,170,After-tax income,170,0.98
1 adult,170,"SNAP, TANF, WIC, Housing",777,0.98
1 adult,170,"Child Care, SNAP, TANF, WIC, Housing",777,0.98
1 adult,180,After-tax income,180,1.03
1 adult,180,"SNAP, TANF, WIC, Housing",784,1.03
1 adult,180,"Child Care, SNAP, TANF, WIC, Housing",784,1.03
1 adult,190,After-tax income,190,1.09
1 adult,190,"SNAP, TANF, WIC, Housing",791,1.09
1 adult,190,"Child Care, SNAP, TANF, WIC, Housing",791,1.09
1 adult,200,After-tax income,200,1.15
1 adult,200,"SNAP, TANF, WIC, Housing",798,1.15
1 adult,200,"Child Care, SNAP, TANF, WIC, Housing",798,1.15
1 adult,210,After-tax income,210,1.21
1 adult,210,"SNAP, TANF, WIC, Housing",805,1.21
1 adult,210,"Child Care, SNAP, TANF, WIC, Housing",805,1.21
1 adult,220,After-tax income,220,1.26
1 adult,220,"SNAP, TANF, WIC, Housing",812,1.26
1 adult,220,"Child Care, SNAP, TANF, WIC, Housing",812,1.26
1 adult,230,After-tax income,230,1.32
1 adult,230,"SNAP, TANF, WIC, Housing",819,1.32
1 adult,230,"Child Care, SNAP, TANF, WIC, Housing",819,1.32
1 adult,240,After-tax income,240,1.38
1 adult,240,"SNAP, TANF, WIC, Housing",826,1.38
1 adult,240,"Child Care, SNAP, TANF, WIC, Housing",826,1.38
1 adult,250,After-tax income,250,1.44
1 adult,250,"SNAP, TANF, WIC, Housing",833,1.44
1 adult,250,"Child Care, SNAP, TANF, WIC, Housing",833,1.44
1 adult,260,After-tax income,260,1.49
1 adult,260,"SNAP, TANF, WIC, Housing",840,1.49
1 adult,260,"Child Care, SNAP, TANF, WIC, Housing",840,1.49
1 adult,270,After-tax income,270,1.55
1 adult,270,"SNAP, TANF, WIC, Housing",847,1.55
1 adult,270,"Child Care, SNAP, TANF, WIC, Housing",847,1.55
1 adult,280,After-tax income,280,1.61
1 adult,280,"SNAP, TANF, WIC, Housing",854,1.61
1 adult,280,"Child Care, SNAP, TANF, WIC, Housing",854,1.61
1 adult,290,After-tax income,290,1.67
1 adult,290,"SNAP, TANF, WIC, Housing",861,1.67
1 adult,290,"Child Care, SNAP, TANF, WIC, Housing",861,1.67
1 adult,300,After-tax income,300,1.72
1 adult,300,"SNAP, TANF, WIC, Housing",868,1.72
1 adult,300,"Child Care, SNAP, TANF, WIC, Housing",868,1.72
1 adult,310,After-tax income,310,1.78
1 adult,310,"SNAP, TANF, WIC, Housing",875,1.78
1 adult,310,"Child Care, SNAP, TANF, WIC, Housing",875,1.78
1 adult,320,After-tax income,320,1.84
1 adult,320,"SNAP, TANF, WIC, Housing",882,1.84
1 adult,320,"Child Care, SNAP, TANF, WIC, Housing",882,1.84
1 adult,330,After-tax income,330,1.9
1 adult,330,"SNAP, TANF, WIC, Housing",889,1.9
1 adult,330,"Child Care, SNAP, TANF, WIC, Housing",889,1.9
1 adult,340,After-tax income,340,1.95
1 adult,340,"SNAP, TANF, WIC, Housing",896,1.95
1 adult,340,"Child Care, SNAP, TANF, WIC, Housing",896,1.95
1 adult,350,After-tax income,350,2.01
1 adult,350,"SNAP, TANF, WIC, Housing",903,2.01
1 adult,350,"Child Care, SNAP, TANF, WIC, Housing",903,2.01
1 adult,360,After-tax income,360,2.07
1 adult,360,"SNAP, TANF, WIC, Housing",910,2.07
1 adult,360,"Child Care, SNAP, TANF, WIC, Housing",910,2.07
1 adult,370,After-tax income,370,2.13
1 adult,370,"SNAP, TANF, WIC, Housing",917,2.13
1 adult,370,"Child Care, SNAP, TANF, WIC, Housing",917,2.13
1 adult,380,After-tax income,380,2.18
1 adult,380,"SNAP, TANF, WIC, Housing",924,2.18
1 adult,380,"Child Care, SNAP, TANF, WIC, Housing",924,2.18
1 adult,390,After-tax income,390,2.24
1 adult,390,"SNAP, TANF, WIC, Housing",931,2.24
