DSI,EIC,FLPDYR,MARS,XTOT,e00200,e00200p,e00200s,RECID
0,0,2019,1,1,0,0,0,1
0,1,2019,1,2,0,0,0,2
0,2,2019,1,3,0,0,0,3
0,3,2019,1,4,0,0,0,4
0,0,2019,2,2,0,0,0,5
0,1,2019,2,3,0,0,0,6
0,2,2019,2,4,0,0,0,7
0,3,2019,2,5,0,0,0,8
0,0,2019,1,1,120,120,0,9
0,1,2019,1,2,120,120,0,10
0,2,2019,1,3,120,120,0,11
0,3,2019,1,4,120,120,0,12
0,0,2019,2,2,120,84,36,13
0,1,2019,2,3,120,84,36,14
0,2,2019,2,4,120,84,36,15
0,3,2019,2,5,120,84,36,16
0,0,2019,1,1,240,240,0,17
0,1,2019,1,2,240,240,0,18
0,2,2019,1,3,240,240,0,19
0,3,2019,1,4,240,240,0,20
0,0,2019,2,2,240,168,72,21
0,1,2019,2,3,240,168,72,22
0,2,2019,2,4,240,168,72,23
0,3,2019,2,5,240,168,72,24
0,0,2019,1,1,360,360,0,25
0,1,2019,1,2,360,360,0,26
0,2,2019,1,3,360,360,0,27
0,3,2019,1,4,360,360,0,28
0,0,2019,2,2,360,252,108,29
0,1,2019,2,3,360,252,108,30
0,2,2019,2,4,360,252,108,31
0,3,2019,2,5,360,252,108,32
0,0,2019,1,1,480,480,0,33
0,1,2019,1,2,480,480,0,34
0,2,2019,1,3,480,480,0,35
0,3,2019,1,4,480,480,0,36
0,0,2019,2,2,480,336,144,37
0,1,2019,2,3,480,336,144,38
0,2,2019,2,4,480,336,144,39
0,3,2019,2,5,480,336,144,40
0,0,2019,1,1,600,600,0,41
0,1,2019,1,2,600,600,0,42
0,2,2019,1,3,600,600,0,43
0,3,2019,1,4,600,600,0,44
0,0,2019,2,2,600,420,180,45
0,1,2019,2,3,600,420,180,46
0,2,2019,2,4,600,420,180,47
0,3,2019,2,5,600,420,180,48
0,0,2019,1,1,720,720,0,49
0,1,2019,1,2,720,720,0,50
0,2,2019,1,3,720,720,0,51
0,3,2019,1,4,720,720,0,52
0,0,2019,2,2,720,504,216,53
0,1,2019,2,3,720,504,216,54
0,2,2019,2,4,720,504,216,55
0,3,2019,2,5,720,504,216,56
0,0,2019,1,1,840,840,0,57
0,1,2019,1,2,840,840,0,58
0,2,2019,1,3,840,840,0,59
0,3,2019,1,4,840,840,0,60
0,0,2019,2,2,840,588,252,61
0,1,2019,2,3,840,588,252,62
0,2,2019,2,4,840,588,252,63
0,3,2019,2,5,840,588,252,64
0,0,2019,1,1,960,960,0,65
0,1,2019,1,2,960,960,0,66
0,2,2019,1,3,960,960,0,67
0,3,2019,1,4,960,960,0,68
0,0,2019,2,2,960,672,288,69
0,1,2019,2,3,960,672,288,70
0,2,2019,2,4,960,672,288,71
0,3,2019,2,5,960,672,288,72
0,0,2019,1,1,1080,1080,0,73
0,1,2019,1,2,1080,1080,0,74
0,2,2019,1,3,1080,1080,0,75
0,3,2019,1,4,1080,1080,0,76
0,0,2019,2,2,1080,756,324,77
0,1,2019,2,3,1080,756,324,78
0,2,2019,2,4,1080,756,324,79
0,3,2019,2,5,1080,756,324,80
0,0,2019,1,1,1200,1200,0,81
0,1,2019,1,2,1200,1200,0,82
0,2,2019,1,3,1200,1200,0,83
0,3,2019,1,4,1200,1200,0,84
0,0,2019,2,2,1200,840,360,85
0,1,2019,2,3,1200,840,360,86
0,2,2019,2,4,1200,840,360,87
0,3,2019,2,5,1200,840,360,88
0,0,2019,1,1,1320,1320,0,89
0,1,2019,1,2,1320,1320,0,90
0,2,2019,1,3,1320,1320,0,91
0,3,2019,1,4,1320,1320,0,92
0,0,2019,2,2,1320,924,396,93
0,1,2019,2,3,1320,924,396,94
0,2,2019,2,4,1320,924,396,95
0,3,2019,2,5,1320,924,396,96
0,0,2019,1,1,1440,1440,0,97
0,1,2019,1,2,1440,1440,0,98
0,2,2019,1,3,1440,1440,0,99
0,3,2019,1,4,1440,1440,0,100
0,0,2019,2,2,1440,1008,432,101
0,1,2019,2,3,1440,1008,432,102
0,2,2019,2,4,1440,1008,432,103
0,3,2019,2,5,1440,1008,432,104
0,0,2019,1,1,1560,1560,0,105
0,1,2019,1,2,1560,1560,0,106
0,2,2019,1,3,1560,1560,0,107
0,3,2019,1,4,1560,1560,0,108
