FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,1,0.00,0.00,0.00,0.00
2019,2,0.00,0.00,0.00,0.00
2019,3,0.00,0.00,0.00,0.00
2019,4,0.00,0.00,0.00,0.00
2019,5,0.00,0.00,0.00,0.00
2019,6,0.00,0.00,0.00,0.00
2019,7,0.00,0.00,0.00,0.00
2019,8,0.00,0.00,0.00,0.00
2019,9,120.00,120.00,0.00,9.18
2019,10,151.62,120.00,0.00,40.80
2019,11,158.82,120.00,0.00,48.00
2019,12,164.82,120.00,0.00,54.00
2019,13,120.00,120.00,0.00,9.18
2019,14,151.62,120.00,0.00,40.80
2019,15,158.82,120.00,0.00,48.00
2019,16,164.82,120.00,0.00,54.00
2019,17,240.00,240.00,0.00,18.36
2019,18,303.24,240.00,0.00,81.60
2019,19,317.64,240.00,0.00,96.00
2019,20,329.64,240.00,0.00,108.00
2019,21,240.00,240.00,0.00,18.36
2019,22,303.24,240.00,0.00,81.60
2019,23,317.64,240.00,0.00,96.00
2019,24,329.64,240.00,0.00,108.00
2019,25,360.00,360.00,0.00,27.54
2019,26,454.86,360.00,0.00,122.40
2019,27,476.46,360.00,0.00,144.00
2019,28,494.46,360.00,0.00,162.00
2019,29,360.00,360.00,0.00,27.54
2019,30,454.86,360.00,0.00,122.40
2019,31,476.46,360.00,0.00,144.00
2019,32,494.46,360.00,0.00,162.00
2019,33,480.00,480.00,0.00,36.72
2019,34,606.48,480.00,0.00,163.20
2019,35,635.28,480.00,0.00,192.00
2019,36,659.28,480.00,0.00,216.00
2019,37,480.00,480.00,0.00,36.72
2019,38,606.48,480.00,0.00,163.20
2019,39,635.28,480.00,0.00,192.00
2019,40,659.28,480.00,0.00,216.00
2019,41,600.00,600.00,0.00,45.90
2019,42,758.10,600.00,0.00,204.00
2019,43,794.10,600.00,0.00,240.00
2019,44,824.10,600.00,0.00,270.00
2019,45,600.00,600.00,0.00,45.90
2019,46,758.10,600.00,0.00,204.00
2019,47,794.10,600.00,0.00,240.00
2019,48,824.10,600.00,0.00,270.00
2019,49,720.00,720.00,0.00,55.08
2019,50,909.72,720.00,0.00,244.80
2019,51,952.92,720.00,0.00,288.00
2019,52,988.92,720.00,0.00,324.00
2019,53,720.00,720.00,0.00,55.08
2019,54,909.72,720.00,0.00,244.80
2019,55,952.92,720.00,0.00,288.00
2019,56,988.92,720.00,0.00,324.00
2019,57,840.00,840.00,0.00,64.26
2019,58,1061.34,840.00,0.00,285.60
2019,59,1111.74,840.00,0.00,336.00
2019,60,1153.74,840.00,0.00,378.00
2019,61,840.00,840.00,0.00,64.26
2019,62,1061.34,840.00,0.00,285.60
